rank,Player,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4,team,bowler_surname,year,season,bowler,overall_key_count,home_key_count,away_key_count,team_position,Team Name
13,SP Narine (KKR),11,11,256,42.4,-,304,11,3/26,3/26,27.63,7.12,23.27,-,KKR,Narine,2016,2016,Sunil Narine,5.0,2.0,3.0,4.0,Kolkata Knight Riders
14,M Morkel (KKR),10,10,213,35.3,-,297,10,2/27,2/27,29.70,8.36,21.30,-,KKR,Morkel,2016,2016,Morne Morkel,5.0,1.0,4.0,4.0,Kolkata Knight Riders
15,Z Khan (DC),12,12,262,43.4,1,337,10,3/21,3/21,33.70,7.71,26.20,-,DC,Khan,2016,2016,Zaheer Khan,4.0,2.0,2.0,,
1,DJ Bravo (CSK),17,16,314,52.2,-,426,26,3/22,3/22,16.38,8.14,12.07,,CSK,Bravo,2015,2015,Dwayne Bravo,10.0,7.0,3.0,1.0,Chennai Super Kings
2,SL Malinga (MI),15,15,360,60.0,3,444,24,4/23,4/23,18.50,7.40,15.00,,MI,Malinga,2015,2015,Lasith Malinga,14.0,7.0,7.0,2.0,Mumbai Indians
3,YS Chahal (RCB),15,14,281,46.5,-,415,23,3/40,3/40,18.04,8.86,12.21,,RCB,Chahal,2015,2015,Yuzvendra Chahal,8.0,4.0,4.0,3.0,Royal Challengers Bangalore
4,A Nehra (CSK),16,16,372,62.0,-,449,22,4/10,4/10,20.39,7.24,16.90,,CSK,Nehra,2015,2015,Ashish Nehra,6.0,4.0,2.0,1.0,Chennai Super Kings
5,MA Starc (RCB),13,12,258,43.0,1,291,20,4/15,4/15,14.55,6.76,12.90,,RCB,Starc,2015,2015,Mitchell Starc,6.0,2.0,4.0,3.0,Royal Challengers Bangalore
6,MJ McClenaghan (MI),12,12,282,47.0,-,386,18,3/16,3/16,21.44,8.21,15.66,,MI,McClenaghan,2015,2015,Mitchell McClenaghan,7.0,3.0,4.0,2.0,Mumbai Indians
7,B Kumar (SRH),14,14,310,51.4,1,407,18,3/26,3/26,22.61,7.87,17.22,,SRH,Kumar,2015,2015,Bhuvneshwar Kumar,10.0,4.0,6.0,6.0,Sunrisers Hyderabad
8,Harbhajan Singh (MI),15,15,342,57.0,1,446,18,3/27,3/27,24.77,7.82,19.00,,MI,Singh,2015,2015,Harbhajan Singh,7.0,3.0,4.0,2.0,Mumbai Indians
9,HV Patel (RCB),15,14,263,43.5,-,328,17,2/12,2/12,19.29,7.48,15.47,,RCB,Patel,2015,2015,Axar Patel,7.0,3.0,4.0,3.0,Royal Challengers Bangalore
10,D Wiese (RCB),14,13,254,42.2,-,353,16,4/33,4/33,22.06,8.33,15.87,,RCB,Wiese,2015,2015,David Wiese,4.0,2.0,2.0,3.0,Royal Challengers Bangalore
