rank,year,player_url,player_id,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,team,batter_surname,year_neg_batting_clutch_metric,year_matches_played,year_pos_batting_clutch_metric
13,2009,/cricketers/yuvraj-singh-36084,36084,Yuvraj Singh (IND),2009-2009,5,5,1,153,67,38.25,99,154.54,0,1,0,10,9,IND,Singh,-117.81278051664484,16,304.2479
14,2009,/cricketers/lendl-simmons-53116,53116,LMP Simmons (WI),2009-2009,5,5,0,150,77,30.00,109,137.61,0,1,2,22,1,WI,Simmons,-33.14620420265422,9,49.523409
15,2009,/cricketers/graeme-smith-47270,47270,GC Smith (SA),2009-2009,6,6,0,149,38,24.83,137,108.75,0,0,0,21,1,SA,Smith,-52.911330249902115,8,412.709084
1,2007,/cricketers/matthew-hayden-5616,5616,ML Hayden (AUS),2007-2007,6,6,3,265,73*,88.33,183,144.80,0,4,0,32,10,AUS,Hayden,-73.136758613309,8,195.442871
2,2007,/cricketers/gautam-gambhir-28763,28763,G Gambhir (IND),2007-2007,7,6,0,227,75,37.83,175,129.71,0,3,1,27,5,IND,Gambhir,-7.071580105287971,6,233.153685
3,2007,/cricketers/misbah-ul-haq-41378,41378,Misbah-ul-Haq (PAK),2007-2007,7,7,3,218,66*,54.50,156,139.74,0,2,0,18,9,PAK,Misbah-ul-Haq,-3.6547032606145913,8,405.989633
4,2007,/cricketers/shoaib-malik-42657,42657,Shoaib Malik (PAK),2007-2007,7,7,2,195,57,39.00,154,126.62,0,2,0,15,5,PAK,Malik,-15.577494475413625,11,443.660491
5,2007,/cricketers/kevin-pietersen-19296,19296,KP Pietersen (ENG),2007-2007,5,5,0,178,79,35.60,110,161.81,0,1,0,17,6,ENG,Pietersen,-65.22472146509915,8,236.93212
6,2007,/cricketers/justin-kemp-45797,45797,JM Kemp (SA),2007-2007,5,5,3,173,89*,86.50,124,139.51,0,1,0,13,10,SA,Kemp,-8.18862064097134,6,189.502638
7,2007,/cricketers/adam-gilchrist-5390,5390,AC Gilchrist (AUS),2007-2007,6,6,1,169,45,33.80,112,150.89,0,0,0,17,7,AUS,Gilchrist,-46.7121886600121,9,158.18334900000005
8,2007,/cricketers/craig-mcmillan-37712,37712,CD McMillan (NZ),2007-2007,6,5,1,163,57,40.75,90,181.11,0,1,0,7,13,NZ,McMillan,-38.438160469667324,5,317.59986000000004
9,2007,/cricketers/aftab-ahmed-56266,56266,Aftab Ahmed (BAN),2007-2007,5,5,1,162,62*,40.50,125,129.60,0,1,0,18,3,BAN,Ahmed,-35.04639604352289,6,46.397232
10,2007,/cricketers/mahela-jayawardene-49289,49289,DPMD Jayawardene (SL),2007-2007,5,5,1,159,65,39.75,104,152.88,0,1,0,16,4,SL,Jayawardene,-11.104987727049584,5,276.70085399999994
11,2007,/cricketers/sanath-jayasuriya-49209,49209,ST Jayasuriya (SL),2007-2007,5,5,0,154,88,30.80,96,160.41,0,2,2,17,7,SL,Jayasuriya,-12.97,9,193.238898
12,2007,/cricketers/ms-dhoni-28081,28081,MS Dhoni (IND),2007-2007,7,6,1,154,45,30.80,120,128.33,0,0,0,13,3,IND,Dhoni,-8.181818181818182,6,274.02937000000003
13,2007,/cricketers/yuvraj-singh-36084,36084,Yuvraj Singh (IND),2007-2007,6,5,0,148,70,29.60,76,194.73,0,2,0,9,12,IND,Singh,-10.500525026251312,6,330.97872000000007
14,2007,/cricketers/imran-nazir-40563,40563,Imran Nazir (PAK),2007-2007,7,7,1,147,59,24.50,98,150.00,0,1,0,13,10,PAK,Nazir,-13.608519557966813,8,461.159615
15,2007,/cricketers/brendon-mccullum-37737,37737,BB McCullum (NZ),2007-2007,6,6,1,139,45,27.80,114,121.92,0,0,0,16,3,NZ,McCullum,-54.10348231747339,8,208.996705
